Customer_ID,Customer_Name,Gender,Age,City,State,Registration_Date,Last_Purchase_Date,Total_Orders,Purchase_Frequency,Total_Quantity_Purchased,Average_Basket_Size,Average_Order_Value,Total_Revenue,Customer_Lifetime_Value,Preferred_Category,Preferred_Channel,Customer_Segment,Loyalty_Status,Days_Since_Last_Purchase,Churn_Risk,Churn,Risk_Level
CUST100078,Steve Sanchez,Female,51,Jaipur,Rajasthan,2020-02-17,2024-10-26,5,0.79,45,9,6607.21,33036.05,33111.66,Fashion,Online,Medium Value,Bronze,610,High,1,High Risk
CUST100080,Kelly Donovan,Male,34,Coimbatore,Tamil Nadu,2023-10-07,2024-10-21,5,1.85,5,1,200.0,1000.0,1001.86,Sports,Online,Low Value,Bronze,615,High,1,High Risk
CUST100086,Shirley Suarez,Male,34,Delhi,Delhi,2020-05-20,2024-08-04,6,0.99,24,4,1286.56,7719.36,7755.5,Fashion,Online,Low Value,Bronze,693,High,1,High Risk
CUST100088,Lisa Archer,Female,30,Visakhapatnam,Andhra Pradesh,2019-08-03,2026-02-01,7,1.02,42,6,1173.47,8214.29,8241.76,Fashion,Online,Low Value,Bronze,147,Medium,1,High Risk
CUST100089,Aimee Montoya,Female,29,Vadodara,Gujarat,2019-08-08,2026-06-15,8,1.16,8,1,3533.27,28266.16,28165.55,Electronics,Online,Medium Value,Bronze,13,Low,1,High Risk
CUST100091,Brian Rodriguez,Male,42,Vadodara,Gujarat,2021-02-11,2025-04-17,2,0.5,4,2,1450.41,2900.82,3885.63,Fashion,Online,Low Value,Bronze,437,High,1,High Risk
CUST100092,Denise Jacobs,Female,41,Chandigarh,Chandigarh,2022-12-09,2025-02-01,2,0.57,14,7,1481.25,2962.5,2984.28,Grocery,Offline,Low Value,Bronze,512,High,1,High Risk
CUST100104,Richard Henson,Female,19,Vadodara,Gujarat,2021-04-22,2025-12-04,6,1.16,30,5,1424.96,8549.76,8539.69,Sports,Online,Low Value,Bronze,206,High,1,High Risk
CUST100107,Sierra Johnson,Male,50,Chennai,Tamil Nadu,2019-08-02,2026-06-16,1,0.5,8,8,873.83,873.83,3009.66,Sports,Offline,Low Value,Bronze,12,Low,1,High Risk
CUST100112,Julia Torres,Male,18,Chennai,Tamil Nadu,2023-07-26,2026-01-31,4,1.38,16,4,1075.89,4303.56,4316.99,Home & Kitchen,Online,Low Value,Bronze,148,Medium,1,High Risk
CUST100113,Crystal Johnson,Female,37,Coimbatore,Tamil Nadu,2020-01-15,2026-04-29,9,1.4,63,7,2364.61,21281.49,21299.29,Fashion,Online,Medium Value,Bronze,60,Low,1,High Risk
CUST100115,Diana May,Male,18,Jaipur,Rajasthan,2019-12-05,2026-02-17,4,0.61,24,6,1202.2,4808.8,4800.6,Sports,Offline,Low Value,Bronze,131,Medium,1,High Risk
CUST100116,William Herrera,Female,52,Pune,Maharashtra,2020-12-13,2025-01-12,3,0.54,33,11,2178.97,6536.91,6497.72,Sports,Online,Low Value,Bronze,532,High,1,High Risk
CUST100120,Larry Dixon,Male,21,Visakhapatnam,Andhra Pradesh,2021-09-02,2025-09-07,1,0.5,2,2,200.0,200.0,480.22,Beauty,Online,Low Value,Bronze,294,High,1,High Risk
CUST100121,Kenneth Scott,Female,45,Mumbai,Maharashtra,2022-07-23,2026-04-02,2,0.51,10,5,1119.64,2239.28,2235.6,Home & Kitchen,Offline,Low Value,Bronze,87,Low,1,High Risk
CUST100122,April Frost,Female,44,Visakhapatnam,Andhra Pradesh,2019-06-13,2026-01-10,8,1.14,96,12,2737.23,21897.84,21922.12,Home & Kitchen,Offline,Medium Value,Bronze,169,Medium,1,High Risk
CUST100126,Michelle Evans,Male,50,Ahmedabad,Gujarat,2023-10-26,2026-03-22,5,1.88,40,8,2729.57,13647.85,13628.05,Fashion,Offline,Low Value,Bronze,98,Medium,1,High Risk
CUST100134,Rebecca Jackson,Female,58,Madurai,Tamil Nadu,2021-04-06,2025-05-30,8,1.54,32,4,663.2,5305.6,5321.25,Fashion,Offline,Low Value,Bronze,394,High,1,High Risk
CUST100137,Courtney Gonzalez,Female,18,Jaipur,Rajasthan,2021-04-18,2025-11-12,1,0.5,4,4,972.39,972.39,2517.17,Electronics,Online,Low Value,Bronze,228,High,1,High Risk
CUST100139,Angel Perry,Female,43,Kanpur,Uttar Pradesh,2022-08-06,2026-04-07,5,1.29,50,10,1535.66,7678.3,7679.94,Electronics,Online,Low Value,Bronze,82,Low,1,High Risk
CUST100140,Cheyenne Horton,Male,46,Pune,Maharashtra,2021-10-17,2026-05-30,3,0.64,27,9,1835.57,5506.71,5496.71,Sports,Online,Low Value,Bronze,29,Low,1,High Risk
CUST100154,Brenda Hall,Male,35,Mumbai,Maharashtra,2023-12-21,2026-03-24,3,1.2,24,8,264.9,794.7,795.46,Grocery,Online,Low Value,Bronze,96,Medium,1,High Risk
CUST100157,Jason Stein,Female,52,Kolkata,West Bengal,2021-08-24,2026-04-04,1,0.5,3,3,2609.59,2609.59,6298.02,Beauty,Online,Low Value,Bronze,85,Low,1,High Risk
CUST100159,Jamie Smith,Female,33,Visakhapatnam,Andhra Pradesh,2019-06-14,2025-12-20,5,0.71,20,4,1224.79,6123.95,6106.85,Grocery,Offline,Low Value,Bronze,190,High,1,High Risk
CUST100160,Paul Castaneda,Male,33,Guwahati,Assam,2019-07-21,2025-08-06,12,1.73,108,9,5451.56,65418.72,65276.03,Beauty,Offline,Medium Value,Silver,326,High,1,High Risk
CUST100165,John Anderson,Male,33,Nashik,Maharashtra,2023-02-28,2025-03-14,3,0.91,15,5,2500.55,7501.65,7538.28,Fashion,Online,Low Value,Bronze,471,High,1,High Risk
CUST100177,Michael Wang,Male,34,Nagpur,Maharashtra,2023-01-05,2026-06-15,6,1.73,108,18,4925.56,29553.36,29488.9,Sports,Offline,Medium Value,Bronze,13,Low,1,High Risk
CUST100178,Lawrence Adkins,Female,18,Madurai,Tamil Nadu,2019-06-01,2024-09-05,3,0.5,12,4,200.0,600.0,705.82,Fashion,Online,Low Value,Bronze,661,High,1,High Risk
CUST100182,Angela Vaughn,Male,41,Coimbatore,Tamil Nadu,2020-09-19,2025-09-04,3,0.52,27,9,463.77,1391.31,1387.87,Grocery,Online,Low Value,Bronze,297,High,1,High Risk
CUST100186,Jonathan Peterson,Female,18,Kanpur,Uttar Pradesh,2019-08-17,2026-01-29,3,0.5,21,7,932.3,2796.9,3191.9,Grocery,Offline,Low Value,Bronze,150,Medium,1,High Risk
CUST100188,Madison Poole,Female,38,Indore,Madhya Pradesh,2019-09-14,2026-02-05,12,1.77,12,1,2595.64,31147.68,31106.53,Beauty,Online,Medium Value,Bronze,143,Medium,1,High Risk
CUST100192,Debra Christian,Male,35,Madurai,Tamil Nadu,2023-05-25,2024-06-01,5,1.62,35,7,1540.32,7701.6,7678.95,Home & Kitchen,Offline,Low Value,Bronze,757,High,1,High Risk
CUST100197,Spencer Haynes,Male,20,Kochi,Kerala,2019-04-28,2025-05-26,6,0.84,54,9,2002.68,12016.08,12030.23,Electronics,Online,Low Value,Bronze,398,High,1,High Risk
CUST100198,Adam Vaughan,Male,27,Nashik,Maharashtra,2024-05-24,2024-09-07,4,1.92,24,6,200.0,800.0,797.96,Beauty,Online,Low Value,Bronze,659,High,1,High Risk
CUST100199,Nathan Freeman,Male,34,Vadodara,Gujarat,2022-07-27,2026-05-10,6,1.54,30,5,1205.15,7230.9,7245.88,Electronics,Offline,Low Value,Bronze,49,Low,1,High Risk
CUST100200,Melissa Brewer,Male,20,Bengaluru,Karnataka,2019-11-26,2025-11-22,5,0.76,5,1,2714.84,13574.2,13557.48,Fashion,Online,Low Value,Bronze,218,High,1,High Risk
CUST100213,Katherine Salas,Female,18,Visakhapatnam,Andhra Pradesh,2019-03-15,2026-03-05,11,1.51,176,16,6188.25,68070.75,67948.93,Fashion,Offline,Medium Value,Silver,115,Medium,1,High Risk
CUST100214,Julie Alexander,Male,63,Jaipur,Rajasthan,2022-01-08,2026-03-21,6,1.35,72,12,2318.9,13913.4,13936.26,Electronics,Online,Low Value,Bronze,99,Medium,1,High Risk
CUST100217,Mark Brown,Male,18,Surat,Gujarat,2020-04-05,2026-05-15,2,0.5,12,6,200.0,400.0,621.22,Sports,Online,Low Value,Bronze,44,Low,1,High Risk
CUST100221,Jeremy Dalton,Male,30,Kolkata,West Bengal,2022-01-18,2026-05-23,6,1.36,36,6,5454.62,32727.72,32821.21,Fashion,Online,Medium Value,Bronze,36,Low,1,High Risk
CUST100223,Theresa Clark,Male,18,Jaipur,Rajasthan,2019-07-03,2026-05-18,12,1.72,192,16,5811.3,69735.6,69673.87,Electronics,Offline,Medium Value,Silver,41,Low,1,High Risk
CUST100226,Kirk Carter,Female,32,Mumbai,Maharashtra,2023-11-15,2025-10-21,2,0.77,6,3,1699.22,3398.44,3403.09,Sports,Offline,Low Value,Bronze,250,High,1,High Risk
CUST100228,Michael Bradshaw,Female,25,Ranchi,Jharkhand,2019-03-15,2026-01-18,4,0.55,24,6,1218.59,4874.36,4873.69,Fashion,Online,Low Value,Bronze,161,Medium,1,High Risk
CUST100230,Jessica Stephens,Male,27,Kochi,Kerala,2021-02-13,2026-05-12,10,1.87,60,6,1320.03,13200.3,13212.41,Beauty,Online,Low Value,Bronze,47,Low,1,High Risk
CUST100235,Kathryn Snyder,Male,33,Chennai,Tamil Nadu,2020-06-12,2024-11-19,2,0.5,16,8,1379.87,2759.74,4157.55,Grocery,Online,Low Value,Bronze,586,High,1,High Risk
CUST100238,Sara Johnston,Male,30,Chandigarh,Chandigarh,2019-04-07,2026-05-16,12,1.66,252,21,3669.7,44036.4,43913.62,Electronics,Online,Medium Value,Silver,43,Low,1,High Risk
CUST100240,Andrew Avila,Male,39,Vadodara,Gujarat,2022-09-23,2025-09-19,2,0.53,18,9,1364.14,2728.28,2707.89,Sports,Offline,Low Value,Bronze,282,High,1,High Risk
CUST100241,Matthew Moon,Male,40,Coimbatore,Tamil Nadu,2019-12-11,2026-01-01,4,0.61,36,9,868.78,3475.12,3460.49,Beauty,Offline,Low Value,Bronze,178,Medium,1,High Risk
CUST100242,Kevin Walters,Female,39,Hyderabad,Telangana,2019-09-25,2026-05-18,7,1.04,21,3,1753.5,12274.5,12292.41,Electronics,Online,Low Value,Bronze,41,Low,1,High Risk
CUST100245,Donna Landry,Female,46,Mumbai,Maharashtra,2023-01-28,2026-02-28,4,1.18,20,5,1339.05,5356.2,5368.59,Beauty,Online,Low Value,Bronze,120,Medium,1,High Risk
CUST100247,Frank Cordova,Female,44,Jaipur,Rajasthan,2020-02-19,2025-04-10,1,0.5,6,6,2225.16,2225.16,7051.67,Fashion,Online,Low Value,Bronze,444,High,1,High Risk
CUST100248,Jose Travis,Female,63,Madurai,Tamil Nadu,2021-04-07,2026-05-13,9,1.73,36,4,961.08,8649.72,8658.17,Home & Kitchen,Online,Low Value,Bronze,46,Low,1,High Risk
CUST100249,Kimberly Gutierrez,Male,44,Nagpur,Maharashtra,2019-03-31,2026-06-21,3,0.5,21,7,2466.2,7398.6,8912.76,Home & Kitchen,Online,Low Value,Bronze,7,Low,1,High Risk
CUST100252,Tanya Kim,Female,39,Lucknow,Uttar Pradesh,2022-04-26,2025-10-05,1,0.5,6,6,1694.36,1694.36,3520.93,Fashion,Offline,Low Value,Bronze,266,High,1,High Risk
CUST100256,Susan Murray MD,Female,39,Visakhapatnam,Andhra Pradesh,2021-04-12,2025-11-15,6,1.16,30,5,1691.79,10150.74,10192.52,Sports,Offline,Low Value,Bronze,225,High,1,High Risk
CUST100261,Desiree Tyler,Female,18,Lucknow,Uttar Pradesh,2019-11-13,2026-05-02,1,0.5,2,2,1337.4,1337.4,4417.72,Sports,Offline,Low Value,Bronze,57,Low,1,High Risk
CUST100264,Yvonne Burns,Male,25,Coimbatore,Tamil Nadu,2023-09-15,2024-12-21,3,1.08,12,4,813.42,2440.26,2431.64,Electronics,Online,Low Value,Bronze,554,High,1,High Risk
CUST100265,Joshua Reed,Male,24,Surat,Gujarat,2022-08-12,2026-01-12,5,1.3,40,8,386.55,1932.75,1939.89,Home & Kitchen,Online,Low Value,Bronze,167,Medium,1,High Risk
CUST100267,Colin Terry,Male,18,Visakhapatnam,Andhra Pradesh,2020-06-30,2025-03-23,7,1.17,56,8,1564.53,10951.71,10940.4,Grocery,Online,Low Value,Bronze,462,High,1,High Risk
CUST100269,Patrick Thornton,Female,49,Surat,Gujarat,2020-02-17,2025-04-25,10,1.58,10,1,3222.5,32225.0,32298.76,Sports,Online,Medium Value,Bronze,429,High,1,High Risk
CUST100270,Jasmin Alvarado,Male,26,Mumbai,Maharashtra,2021-05-31,2026-06-11,6,1.19,42,7,1576.19,9457.14,9490.02,Beauty,Offline,Low Value,Bronze,17,Low,1,High Risk
CUST100272,Jonathan Lawrence,Female,51,Ranchi,Jharkhand,2020-07-03,2025-10-01,5,0.84,40,8,1004.9,5024.5,5038.12,Grocery,Offline,Low Value,Bronze,270,High,1,High Risk
CUST100273,Shelly Alexander,Male,41,Kolkata,West Bengal,2021-04-15,2025-11-17,7,1.35,42,6,1059.38,7415.66,7416.1,Fashion,Offline,Low Value,Bronze,223,High,1,High Risk
CUST100276,Wayne Morgan,Male,28,Pune,Maharashtra,2024-04-06,2024-04-06,4,1.81,4,1,1414.69,5658.76,5657.48,Grocery,Online,Low Value,Bronze,813,High,1,High Risk
CUST100278,Shannon James,Female,43,Pune,Maharashtra,2021-06-20,2025-12-23,2,0.5,24,12,2063.38,4126.76,5163.39,Home & Kitchen,Online,Low Value,Bronze,187,High,1,High Risk
CUST100279,Nathan Malone,Female,37,Pune,Maharashtra,2021-05-18,2023-07-04,1,0.5,10,10,688.13,688.13,1753.06,Sports,Online,Low Value,Bronze,1090,High,1,High Risk
CUST100280,Amanda Jones,Female,48,Patna,Bihar,2019-01-26,2025-04-03,3,0.5,33,11,1099.44,3298.32,4069.66,Home & Kitchen,Offline,Low Value,Bronze,451,High,1,High Risk
CUST100287,Carolyn Miller,Male,56,Vadodara,Gujarat,2019-03-07,2024-10-01,13,1.78,208,16,200.0,2600.0,2596.53,Beauty,Offline,Low Value,Bronze,635,High,1,High Risk
CUST100292,Jeremy Reed,Female,21,Patna,Bihar,2019-10-09,2026-06-05,1,0.5,5,5,518.0,518.0,1735.89,Fashion,Online,Low Value,Bronze,23,Low,1,High Risk
CUST100296,Laura Haney,Female,45,Kanpur,Uttar Pradesh,2020-02-05,2025-10-04,2,0.5,10,5,850.89,1701.78,2712.83,Electronics,Online,Low Value,Bronze,267,High,1,High Risk
CUST100304,Maria Parker,Female,38,Visakhapatnam,Andhra Pradesh,2023-05-02,2026-06-14,5,1.59,15,3,1549.78,7748.9,7738.21,Fashion,Online,Low Value,Bronze,14,Low,1,High Risk
CUST100308,Kiara Mcintyre,Female,37,Kanpur,Uttar Pradesh,2021-03-31,2024-08-23,3,0.57,3,1,1354.63,4063.89,4035.63,Sports,Online,Low Value,Bronze,674,High,1,High Risk
CUST100313,Tracy Ballard,Female,35,Patna,Bihar,2020-05-06,2026-05-11,10,1.63,70,7,1172.59,11725.9,11711.26,Fashion,Online,Low Value,Bronze,48,Low,1,High Risk
CUST100321,Charles Shah,Female,38,Kolkata,West Bengal,2023-01-12,2025-07-29,5,1.45,5,1,713.4,3567.0,3559.97,Sports,Offline,Low Value,Bronze,334,High,1,High Risk
CUST100324,Natalie Bautista,Male,55,Kochi,Kerala,2023-02-20,2025-11-01,3,0.9,15,5,634.91,1904.73,1905.51,Fashion,Offline,Low Value,Bronze,239,High,1,High Risk
CUST100325,Patrick Moore,Male,50,Ranchi,Jharkhand,2021-07-04,2025-02-20,4,0.81,28,7,1960.47,7841.88,7886.64,Home & Kitchen,Online,Low Value,Bronze,493,High,1,High Risk
CUST100327,Trevor Johnson,Male,26,Surat,Gujarat,2019-11-05,2025-07-12,13,1.96,91,7,5196.07,67548.91,67504.95,Beauty,Offline,Medium Value,Silver,351,High,1,High Risk
CUST100328,Jeremy Sampson,Male,29,Visakhapatnam,Andhra Pradesh,2021-09-16,2026-04-24,8,1.68,120,15,2738.96,21911.68,21920.68,Beauty,Online,Medium Value,Bronze,65,Low,1,High Risk
CUST100331,Colton Martinez,Female,37,Kanpur,Uttar Pradesh,2022-05-25,2026-02-04,5,1.23,10,2,1775.45,8877.25,8902.62,Electronics,Online,Low Value,Bronze,144,Medium,1,High Risk
CUST100337,Charles Lester,Male,20,Kolkata,West Bengal,2019-02-24,2024-07-18,4,0.55,28,7,674.49,2697.96,2716.89,Home & Kitchen,Online,Low Value,Bronze,710,High,1,High Risk
CUST100351,Kimberly Nguyen,Male,57,Chandigarh,Chandigarh,2021-10-09,2026-05-31,2,0.5,18,9,1646.6,3293.2,3870.24,Sports,Online,Low Value,Bronze,28,Low,1,High Risk
CUST100352,Kerry Chavez DDS,Female,22,Jaipur,Rajasthan,2021-04-27,2026-06-21,9,1.75,171,19,2013.56,18122.04,18156.5,Home & Kitchen,Offline,Medium Value,Bronze,7,Low,1,High Risk
CUST100358,Christian Leblanc,Male,46,Bengaluru,Karnataka,2023-02-10,2026-02-06,3,0.89,15,5,1749.63,5248.89,5235.33,Beauty,Offline,Low Value,Bronze,142,Medium,1,High Risk
CUST100364,Tracy Burke,Male,47,Jaipur,Rajasthan,2021-05-04,2025-09-27,2,0.5,14,7,1469.96,2939.92,3773.0,Electronics,Offline,Low Value,Bronze,274,High,1,High Risk
CUST100365,Kenneth Lewis,Female,39,Chennai,Tamil Nadu,2019-05-30,2025-12-30,8,1.13,120,15,6390.12,51120.96,51005.49,Home & Kitchen,Online,Medium Value,Silver,180,Medium,1,High Risk
CUST100366,Courtney Rodriguez,Male,18,Nagpur,Maharashtra,2021-05-24,2025-07-08,8,1.58,64,8,200.0,1600.0,1604.87,Sports,Offline,Low Value,Bronze,355,High,1,High Risk
CUST100376,Glen Wood,Male,48,Hyderabad,Telangana,2020-01-12,2025-09-20,6,0.93,30,5,368.03,2208.18,2204.95,Grocery,Online,Low Value,Bronze,281,High,1,High Risk
CUST100378,Anthony Moore,Male,18,Coimbatore,Tamil Nadu,2020-05-28,2025-09-02,3,0.5,3,1,1850.2,5550.6,5612.65,Fashion,Online,Low Value,Bronze,299,High,1,High Risk
CUST100383,Mr. Andrew Foster,Female,37,Bhopal,Madhya Pradesh,2019-09-18,2024-11-22,1,0.5,3,3,414.08,414.08,1399.54,Fashion,Offline,Low Value,Bronze,583,High,1,High Risk
CUST100384,Aimee Turner,Male,30,Mumbai,Maharashtra,2019-12-31,2024-03-26,2,0.5,6,3,602.32,1204.64,1950.02,Grocery,Online,Low Value,Bronze,824,High,1,High Risk
CUST100385,Chad Scott,Male,30,Delhi,Delhi,2019-07-12,2026-03-03,3,0.5,12,4,872.47,2617.41,3030.06,Fashion,Online,Low Value,Bronze,117,Medium,1,High Risk
CUST100388,Sandra Drake,Female,40,Lucknow,Uttar Pradesh,2023-07-06,2025-11-07,3,1.01,3,1,1594.29,4782.87,4770.08,Grocery,Online,Low Value,Bronze,233,High,1,High Risk
CUST100389,Scott Williams,Male,52,Visakhapatnam,Andhra Pradesh,2021-09-29,2025-04-24,4,0.85,32,8,2205.5,8822.0,8863.97,Grocery,Online,Low Value,Bronze,430,High,1,High Risk
CUST100390,Thomas Atkins,Male,29,Delhi,Delhi,2024-05-15,2025-07-01,3,1.43,21,7,616.56,1849.68,1853.88,Home & Kitchen,Online,Low Value,Bronze,362,High,1,High Risk
CUST100393,Robert Montgomery,Female,27,Coimbatore,Tamil Nadu,2021-07-01,2025-04-22,4,0.8,20,5,884.82,3539.28,3521.35,Grocery,Offline,Low Value,Bronze,432,High,1,High Risk
CUST100395,Dana Chapman,Female,52,Jaipur,Rajasthan,2022-07-02,2025-12-28,6,1.51,84,14,1707.14,10242.84,10240.55,Grocery,Online,Low Value,Bronze,182,High,1,High Risk
CUST100396,Jennifer Collins,Female,37,Delhi,Delhi,2019-10-31,2025-04-13,5,0.75,15,3,335.54,1677.7,1671.5,Beauty,Online,Low Value,Bronze,441,High,1,High Risk
CUST100398,Ashley Hicks,Female,55,Chandigarh,Chandigarh,2023-08-09,2024-02-18,1,0.5,6,6,1199.52,1199.52,1720.87,Fashion,Online,Low Value,Bronze,861,High,1,High Risk
CUST100399,Hannah Luna,Female,30,Ahmedabad,Gujarat,2019-07-26,2026-02-04,1,0.5,4,4,2265.9,2265.9,7825.96,Beauty,Online,Low Value,Bronze,144,Medium,1,High Risk
CUST100401,Craig Morrison,Other,44,Kochi,Kerala,2019-09-03,2025-06-21,6,0.88,30,5,642.81,3856.86,3847.04,Electronics,Online,Low Value,Bronze,372,High,1,High Risk
CUST100403,Kathleen Webster,Female,45,Coimbatore,Tamil Nadu,2023-04-24,2024-05-16,1,0.5,5,5,1071.14,1071.14,1693.59,Fashion,Offline,Low Value,Bronze,773,High,1,High Risk
CUST100408,Anthony Romero,Female,18,Guwahati,Assam,2019-11-12,2024-05-08,13,1.97,65,5,2017.86,26232.18,26272.68,Grocery,Online,Medium Value,Bronze,781,High,1,High Risk
CUST100411,Lisa Hunter,Male,30,Jaipur,Rajasthan,2022-12-03,2025-12-04,4,1.13,24,6,793.44,3173.76,3183.77,Home & Kitchen,Offline,Low Value,Bronze,206,High,1,High Risk
CUST100412,Julian Conner,Female,38,Nashik,Maharashtra,2019-01-16,2025-02-01,9,1.21,72,8,1444.0,12996.0,12982.91,Home & Kitchen,Offline,Low Value,Bronze,512,High,1,High Risk
CUST100417,Carrie Wright,Male,49,Kolkata,West Bengal,2021-08-17,2026-05-25,8,1.65,88,11,2076.61,16612.88,16604.35,Home & Kitchen,Offline,Medium Value,Bronze,34,Low,1,High Risk
CUST100419,Jake Campbell,Male,22,Kanpur,Uttar Pradesh,2022-07-01,2024-01-27,1,0.5,5,5,837.85,837.85,1665.38,Fashion,Online,Low Value,Bronze,883,High,1,High Risk
CUST100420,George Harper,Female,54,Mumbai,Maharashtra,2020-03-01,2026-05-31,12,1.9,120,10,1226.07,14712.84,14694.71,Grocery,Offline,Medium Value,Bronze,28,Low,1,High Risk
CUST100423,Mary Escobar,Female,33,Visakhapatnam,Andhra Pradesh,2020-02-12,2026-05-08,10,1.57,50,5,3553.63,35536.3,35468.58,Grocery,Online,Medium Value,Silver,51,Low,1,High Risk
CUST100427,Emily Bennett,Male,30,Lucknow,Uttar Pradesh,2023-04-30,2026-04-19,6,1.91,30,5,961.64,5769.84,5777.98,Grocery,Offline,Low Value,Bronze,70,Low,1,High Risk
CUST100431,Jack White,Male,33,Ranchi,Jharkhand,2022-02-27,2025-06-04,1,0.5,6,6,661.9,661.9,1428.0,Grocery,Online,Low Value,Bronze,389,High,1,High Risk
CUST100435,Sophia Johnson,Male,44,Indore,Madhya Pradesh,2021-01-18,2026-02-19,2,0.5,16,8,1831.59,3663.18,4966.98,Sports,Online,Low Value,Bronze,129,Medium,1,High Risk
CUST100437,Christopher Guerra,Female,24,Jaipur,Rajasthan,2021-04-11,2025-03-26,9,1.73,45,5,1582.43,14241.87,14225.8,Home & Kitchen,Online,Low Value,Bronze,459,High,1,High Risk
